title,year,genre,plot
Wedding Season,2022,"Comedy, Romance","Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other."
Boy in the Corner,2022,"Crime, Drama","The backward system of society pushes another dream-filled boy to the curb, with his aspiration suppressed, he is at risk of falling into the attractive arms of gang life."
The Junior Squad Returns,2022,"Action, Comedy",
Aankh Micholi,2022,"Comedy, Family",A family of misfits is trying to hide some secrets from the NRI suitor and his family as they want their daughter to get married to a well-to-do NRI guy. Then a series of comical twists and turns.
Against All Odds - The Nasty Mondays Story,2022,Documentary,
Oskars Kleid,2022,"Comedy, Drama","When Ben's son decides to live as a girl from now on, his world is turned upside down and the relationship with his family is put to a severe test."
The Heritor,2022,Action,"In a world of snakes and rats, what do you do when you go from being the predator to the prey? Mist is the best political assassin in the business and a ruthless former client knows it. When Mist receives a new contract from the man who betrayed her and forced her to break the sacred rule of never killing children, she knows this is her chance to get the revenge she craves more than the alcohol littering her cheap motel room. But Senator Johnson, not one to be outdone, uses this contract as a way to lure her out of hiding so he can send every assassin on his payroll after her to tie up the final loose end in his plan. As Mist fights off attack after attack--and her addiction--she'll have to decide whether a young girl she finds on the streets is worth the effort of protecting. Can Mist save the child this time, or will the child save her?"
Citizen Green,2022,Documentary,"Citizen Green examines the current Zeitgeist of the global environmental challenges, solutions and actions we must take in order to live healthy and sustainable lives."
Eriyum Kannadi,2022,Drama,
Midland Club,2022,"Drama, Mystery","A knotted tale of corruption, lies and murder in a midwestern town. Only one man is willing to reveal the truth."
Ivanna,2022,"Horror, Thriller","Ambar and his family were terrorized when they celebrated Lebaran in the Bandung area. Ambar, a beautiful young woman who has limited vision, is able to see things that other people can't see."
Visceral,2022,"Crime, Drama, Thriller",
Cannibal Lake,2022,Horror,"A group of 20 somethings want to end the summer on a high, they take the advice from a girl they met at a festival about a secret rave deep in the Valleys. When their route is detoured they have no choice but to venture into the unknown. Once they come across a derelict aqua park, they soon realize what they thought was their salvation turns out to be the heart of the Cannibals lair."
Runway 34,2022,"Drama, Thriller","Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination."
Will-o'-the-Wisp,2022,"Comedy, Fantasy, Musical, Romance, Sci-Fi","2069, an erotic year if ever there was one, but a fateful year for a king without a crown."
Karate Man,2022,"Action, Drama, Sport",A martial arts champion with a first degree diabetes mellitus was passionate to fighting. The losing of the title during the Karate World Championships made him collapse to the ground at the end of the match to diabetic coma.
Jackass Forever,2022,"Documentary, Action, Comedy","After 11 years, the Jackass crew is back for another crusade."
FIR,2022,"Action, Thriller","Irfan, an innocent man with an ordinary life, is portrayed as the evil incarnated by media trials. Is there a journey back to normal life for a man accused of terrorism? Is there more to Irfan than what meets the eye?"
Filthy Animals,2022,"Crime, Drama","A day in the life of two misfits who surf, smoke and hunt sexual predators."
Illegal Savannah,2022,Drama,"An independent artist gets romantically involved with her nephew, putting her in the dangerous situation of facing court time"
Chris to the Future Part II: The Amietrix,2022,Comedy,
Meridiane Story,2022,"Drama, Fantasy, History, Mystery, Romance, Sci-Fi",Myth of nonhuman Queen left alone on wild planet earth.
Dark Soul,2022,Horror,It tells the story of an Ancient book hidden by a tribe in the jungle. It holds the power of dark magic.
Sierra,2022,Action,
GR33D,2022,Crime,A bank robbery goes sour and the criminals go on the run and attempt to hide their ill-gotten gains.
Framing Agnes,2022,Documentary,FRAMING AGNES turns the talk show format inside out in response to media's ongoing fascination with trans people. The film breathes life into six previously unknown stories from the archives of the UCLA Gender Clinic in the 1950s.
Realno nerealnaya istoriya,2022,Musical,
Choose or Die,2022,"Drama, Horror, Thriller","After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences."
Say Goodbye,2022,Drama,"If you could tell the people in your life exactly what you think of them, what would you say?"
Malazgirt 1071,2022,"History, War","The story of the war, which is the beginning of the history of Turks in Anatolia."
Kuruthi Aattam,2022,"Action, Drama, Thriller",Two disparate men meeting by accident and the friendship they develop.
Ajayante Randam Moshanam,2022,"Adventure, Comedy, Drama, Fantasy","Set in the Northern Kerala in 1900, 1950 and 1990, Three generations of heroes Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the Land."
Thamilarasan,2022,Drama,
Aslan Hürkus Kayip Elmas,2022,Animation,"Aslan is a boy who dreams of becoming an aeronautical engineer. Among the belongings of his grandfather, who was a heroic pilot, he comes across clues of literally reviving an old plane."
Son Parti,2022,"Comedy, Romance",Twin sisters Katre and Birsu try to go to the last party of year at the Sehnaz high school in Istanbul.
Resurrection,2022,"Crime, Drama, Horror, Mystery, Thriller","Margaret's life is in order. She is capable, disciplined and successful. Everything is under control until David returns - that is - carrying with him the horrors of Margaret's past."
Songs from Heaven,2022,Family,
BigBug,2022,"Comedy, Sci-Fi",A group of bickering suburbanites find themselves stuck together when an android uprising causes their well intentioned household robots to lock them in for their own safety.
Rise Up,2022,Documentary,"When society is broken and demands for social justice go unmet, some folks don't give up, they rise up."
Cardinal High of the Dead,2022,Horror,A group of students form a dangerous cult.
Acharya,2022,"Action, Drama","Touted to be a socio-political actioner, the plot revolves around a middle-aged Naxalite-turned-social reformer who launches a fight against the Endowments Department over misappropriation of temple funds and donations."
Grim,2022,Crime,"Three young beautiful woman; Olivia, Nikki, and Sasha, trying to better their lives after doing a job that they never expected to be doing, come up with a plan to steal from their dangerous boss; Sebastian, who has every cop and gangsta in the city working for him. The girl's plan doesn't go as planned and Olivia, Sasha and Nikki get into something much bigger than they thought possible. They have to come up with another plan to escape from their original plan, but things change for one of the girls that makes her want to back out of the original plan. A few days later after Olivia, Nikki and Sasha have pulled off their first plan to a certain degree, people are being killed and stalked left and right. Olivia, Nikki and Sasha have no idea who to trust and even Sebastian doesn't know who to trust either, since everyone wants to turn on him and become their own boss. Sebastian has lost control of his city and he needs a way to gain his city back. Little does anyone know that Sebastian is not the only mob boss in the city, and the girls have to find out who the real monster is. Who is the real mob boss of the city? Who really did kill all of these innocent people? Who is the corrupt one of the city? Who will survive the monster?"
Glass Onion - Knives Out,2022,"Comedy, Crime, Drama, Mystery, Thriller",Famed Southern detective Benoit Blanc travels to Greece for his latest case.
Incalescence - India's Soaring Temperatures,2022,Documentary,"With the heat Index rising to record levels, India is facing unfathomable environmental crisis. The documentary shows the devastating impacts of heat wave that has caused deaths of people and also the healthy and working population."
The Ace and the Scout,2022,War,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow."
Stomping in Puddles,2022,Biography,
Hoy se arregla el mundo,2022,"Comedy, Drama",A man finds out the child he has been raising for 9 years might not be his son after all. They then set out to find the real biological father.
Witch Trials,2022,Horror,Two documentary filmmakers and an ex-cop investigate the disappearance of a young girl that is rumored to have been abducted by a witch in the haunted woods of Connecticut.
Hong Kong Kong,2022,Action,
Body Farm,2022,Horror,A forensic pathology student volunteering alone on a body farm is horrified to discover the corpses have begun to change position or even disappear altogether.
Sanctified,2022,Western,An outlaw is rescued from death by a nun who is traveling through 1890 North Dakota. She nurses him back to health in exchange for him guiding her to a Church deep in the Badlands.
The American Can,2022,Drama,"Based on a true story, disillusioned U.S. Marine Veteran John Keller must confront his inner demons to save people trapped in a building, while racial tensions rise in the aftermath of Hurricane Katrina."
Dag för dag,2022,"Comedy, Drama","On a RV journey from Sweden to Switzerland, five different people come together to tend to an elderly man's last wishes. Cross-generational friendships are developed, An autumn romance is kindled and life-changing decisions are made."
Ghetto Sushi,2022,Action,"Six lifelong friends who grew up in a rough inner city, stumble upon a dark secret and use their love of Japanese culture to face a powerful enemy. After a string of mysterious deaths, They embark on an incredible adventure that has the potential to shape the world."
Immanence,2022,"Horror, Mystery, Thriller","Radio astronomers discover a mysterious signal in the deep sea that could be contact with extraterrestrials. After several terrifying manifestations threaten their beliefs, the team must fight to survive the ultimate evil."
North of Normal,2022,Drama,"After being raised in the wilderness, a teenage girl moves to the city hoping for a normal life with her anything but normal mother."
Soygun Oyunu: Büyük Vurgun,2022,"Action, Comedy, Crime","A complete heist game. Whatever happens they have to win, a game where they put their loved ones in danger while winning. Two bad cops, a powerful man, a weak link Orhan and two people who can make this amazing plan."
Fields of Gold,2022,Documentary,"A. E. Staley went from growing up barefoot on a farm in North Carolina, to building a billion dollar agribusiness giant. He was the original owner of the football team that eventually became the Chicago Bears."
Tootu Madike,2022,"Comedy, Drama, Mystery","When greed takes over the minds of people in the slum, the stolen antique figurine, linked to Indian Mythology, comes to spotlight. What will happen next?"
Gjirokastra,2022,Drama,
The Head Case Murders,2022,"Crime, Horror, Mystery",
Chowki,2022,Drama,"This film revolves around folk based art that is yakshagana, yakshagana Artist and their psychology."
The Man from Toronto,2022,"Action, Adventure, Comedy, Thriller",The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.
Vadio,2022,Drama,"Thirteen year-old André and his father make a living drilling wells for water in the desolate region of Alentejo. When his father suddenly disappears André turns to Sandra, the only neighbor for miles, as his only chance of finding him."
Viens je t'emmène,2022,Comedy,"Christmas Eve is ruined by an act of terrorism in the city of Clermont-Ferrand. As the city descend into panic, thirty something Mederic falls in love with older prostitute Isadora."
Korku Takvimi,2022,Horror,
Posti,2022,"Comedy, Drama","Stray, poor, idle, addicted common people can be found easily around us. The politicians and system treat them as puppets. Such people are not considered as human beings. Most of their questions can't be solved but they themselves are a big question for society. These ""unimportant"" people either get trapped or become revolutionary for the society. Revolutionary people serve as the flag of humanity, the colors of which cause irritation in other's eyes. Posti is the story of the irritation caused by these revolutionary colors. Why it happened in the past, happening now and how long will it continue?"
Music School,2022,Musical,"This heart-warming 11 - Song musical is about how the prevailing Indian education system and parents put pressure on children to be competitive in their ""studies"", thereby leaving no time for art and culture. at this background, two music and drama teachers Mary and Manoj struggle to put up ""The sound of Music"""
Nobody Loves You and You Don't Deserve to Exist,2022,"Drama, Mystery","This multi award-winning British feature film follows a grieving ex-English teacher as he takes us on a personal journey through Broken Britain under Margaret Thatcher in the 1980s, John Major in the 1990s and Boris Johnson in the 2020s."
In the Dark,2022,Documentary,A documentary exploring fears and experiences in the indie horror community.
Canallas,2022,Comedy,"Joaquín, Brujo and Luismi, three neighborhood slackers, reunite after twenty years. Brujo and Luismi are still out of work, each with a side hustle here and there, whereas Joaquín has become an important and well-known businessman. At least that´s what he thinks... At forty-seven, Joaquin is still living in the Orcasitas neighborhood with his mother, Esther, his yo-yo champion daughter, Brenda, and his younger brother Chema, a welder and Wing Chun master. Joaquin lives in apartment 9B, nine stories above his reality."
K-Town,2022,Drama,"In a small town many people don't realize a mob has been operating a daily business for years.. And, when two powerful family's come head to head One family is told, the drugs have invaded the small town already.. Is family more important then money and power.. Not even the police can prevent the drugs and blood shed in the small town streets.. Till the mob decides to get involved, to even the score with a powerful drug dealer.. Who doesn't play by anyones rules but, his own.."
Renegades,2022,"Action, Crime, Thriller","When a retired Green Beret soldier is murdered by an international drug gang in London, four of his veteran SAS comrades set out to avenge him, dispensing their own brand of justice on the streets of London."
Black Warrant,2022,"Action, Thriller",A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.
Prospects,2022,Drama,"Corruption, redemption and heartache on a Montana Reservation."
The House,2022,"Animation, Comedy, Drama, Fantasy, Horror, Mystery, Thriller","Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
Pohrabuvannya po-ukrayinsky,2022,Comedy,
Downton Abbey II: Eine neue Ära,2022,"Drama, Romance",The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.
Fang,2022,"Drama, Horror","It's winter in Chicago and Billy Cochran (Dylan LaRay) can't stop alienating the people around him. His mother Gina (Lynn Lowry) is in and out of the hospital and her mind is breaking down, caught between her glory days as a Southern belle and her current state of decay. One night, Billy gets an unexpected visitor: a rat that springs out of his bathroom and bites him. At first, everything seems okay. Billy comes home, drowsy from the tetanus shot, and bonds with Gina's lovely new caregiver Myra (Jess Paul). Then the rat fur appears. It grows out of Billy's skin, then goes away like it was never there. The more Billy looks in the mirror and scratches, the more he's forced to face the unthinkable: he might be turning into a rat. Billy is plunged into a waking nightmare where he slowly discovers the truth about himself as he unleashes the ferocious depths of the human and rodent soul."
Through the Tear,2022,Documentary,"We stand in the South African bush with Professor Lee Berger, the Paleoanthropologist who discovered the richest early hominid site yet found on the continent of Africa and a new species of human relative, Homo naledi, and, looking around the site of his discoveries, he says: ""Do you know why you feel at home in these surroundings?...because we are all indigenous from here. Everywhere else on this planet we have imposed ourselves; here, the trees, the plants, the animals, have gotten used to the human species and its evolution for millions of years..."" It is in this ""cradle of humankind"" that Artist Caroline Bittermann has been invited by the Nirox Foundation in South Africa to add an artwork to their permanent collection. Caroline has long been working with the concept of the historical English Landscape Garden, where ruins often had critical political impacts in expressing the rebellious opinions of the garden-owners. Here in South Africa, the Artist has created a sculpture in the form of a gate in ruin. The gate in ruin forms a word and is installed at the border between the pristine European looking landscape gardens of the Nirox Foundation and the wild African bush. The word SAN falls apart into three elements: a bench, a pyramid, and two columns. These elements are made out of natural stones, used burned bricks, and dented corrugated sheets, rusty steel, and plants. The word SAN is written on the ground inside the pyramid by the rising sun and gets smaller and smaller as sunlight travels through the day. The SAN population is slowly disappearing from our planet... Thus begins a film dialogue between an artist and renowned scientists in the field of genetic research, anthropology, and cognitive archaeology around the discourse of the beginning of our civilization. The film looks at the SAN people, today ""actors"" of their own culture in ""Living Museums"", as carriers of the oldest DNA markers on the tree of our evolution. To affirm or oppose this theory, we sample and compare a SAN woman's and Caroline Bittermann's DNA with Geneticist Professor Himla Soodyall at the Wits University research laboratory. While the DNA comparison reveals its scientific undeniable truth, we also reflect on the SAN's importance in the origin of art, communication and ritual communal behavior. Exploring caves in Cederberg and Drakensberg, we question David Pearce, Jean-Loïc Le Quellec and Pippa Stoknes on the cultural impact of the SAN people's rock paintings and artifacts making Africa the continent where our ""Modern Man's"" civilization began.To clarify the position of the modern humans in the story of mankind, we construct, with Professor Lee Berger, an animated time line of our evolution, in light of his recent major discoveries. If the SAN people are the foundation of human origin, should the world tolerate that their footsteps are definitely being covered over by the red dust of the Kalahari...? Is their extinction unavoidable? Are human reservations the solution? If we all are descendants of the SAN people, doesn't the light that the artist shines on them cast a shadow on the concept of ""race""?"
Untitled Bradley Martyn Documentary,2022,Documentary,
L'Invitation,2022,Documentary,"An invitation from Timbuktu director Abderrahmane Sissako to visit and film his homeland, Mauritania, results in an epic yet ultimately intimate journey that retraces the threads of a relationship interrupted all too soon."
Pocahontas Returns,2022,"Comedy, Mystery, Romance","The feature film ""Pocahontas Returns"" explores lost values inside our contemporary world and the search for ancient wisdom via the mise-en-abyme of hypermodern New York and neo-baroque Santa Cruz in Bolivia via an interracial love story blended with Telenovela and performance art."
I Wish I Never Met You,2022,Drama,"Lauren Thomas is turning 40 and no one is more excited than her. She is married to an amazing husband, a true provider and father: Andrew Thomas. Andrew's brother, Franklin, is in a wheelchair due to a military attack. His wife, Mahogany, is currently pregnant with their first child. The two couples, along with three other couples and a few friends, are celebrating Lauren's birthday during the holidays since she is a Christmas baby. However, once the other women grow tired of Lauren bragging about her success, even though she is a stay-at-home wife, attitudes and snide comments take control. Over the course of the evening, things escalate and the entire cast gradually gets involved in the free-for-all until everything hits the proverbial fan. Everyone has dealt with someone that they wish they never met. What happens when you have more than a dozen of them in the same house? Find out in ""I Wish I Never Met You."""
Drôle de genre,2022,,
Wild Soul,2022,Action,
Saving Billie Valentine,2022,"Drama, Family","BILLIE VALENTINE, a sixteen-year-old African-American girl, TRAPPED and ALONE in a DANGEROUS TOWN with TWO HALF-BROTHERS TO FEED, gets a LIFE-CHANGING OPPORTUNITY to START ANEW but only if she can ESCAPE her TUMULTUOUS PAST"
Catherine Called Birdy,2022,Adventure,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.
Cold shot,2022,"Action, Sci-Fi",
La Hija de la Muerte,2022,"Drama, Fantasy","Based on the novel ""The Light At The End Of The World"" by Costa Rican author Rod Saturnine. The story centers on Clara, a romani teenager, who is the daughter of Mortimer, the entity of Death, and the complications that surround her while trying to belong to both the Earth and the spirit world. Will Clara deserve to be the heiress of her father's position or will her doubts make her lose her destiny?"
Integration,2022,Documentary,
Mia II the Last Chapter,2022,Mystery,"After losing a lot of money on the first film Mia love never Dies. The producers of the film try to do a second part, hoping to make the money they lost in the first one, without realizing that will be the mistake of their lives."
Texas Chainsaw Massacre,2022,"Crime, Horror, Thriller","After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town."
The Bigfoot Legacy,2022,"Horror, Mystery, Thriller","For a group of friends, their vacation turns into a horrific weekend after they discovered that Bigfoot is real."
Venice at Dawn,2022,Comedy,It is based on the classic British stage farce and a comedy of misunderstandings centered around a relationship break up and a painting which is called Venice at Dawn.
Omnibus 9,2022,Drama,
The Wolf Will Hunt,2022,Horror,"On his last night of freedom a killer plans the worst killing spree the city of London has ever seen. But as the evening progresses, his reality begins to crumble around him."
Slumber Party Slaughter Party 2 (New Blood),2022,Horror,
The Woman Under the Bed,2022,Drama,Ferris is trying to write a screen-play and One night a Woman crawls out from under his bed and they seem to recognize each other. She tells him that she is here for a purpose but he won't get the answer till morning.
A Mobster's Daughter/The $treetz 3,2022,Action,
Ram Setu,2022,"Action, Adventure",An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.
Selfish,2022,Thriller,A series of strange coincidences attract three random people together to an event that will change their life forever.
Objetos,2022,Thriller,"Mario, a worker in ""lost and found"" department, finds a suitcase with a dead baby inside."
Miracle in Cell No. 7,2022,"Drama, Family","A mentally ill man faces the consequences of a corrupt Indonesian politician as he is wrongly accused of murder, and all he wishes is to see his daughter again."
Merindu Cahaya de Amstel,2022,"Drama, Romance",Nico and Khadija's relationship that has a mutual heart but is hindered by the bitter story of the past and the difference in beliefs between the two.
Warten auf Gott,2022,"Drama, Horror",
Tsunami,2022,"Drama, Thriller",23 million people should be evacuated in 2 hours.
Babyface,2022,Drama,Johann Hunt is an Estonian-born young man who struggles to find a place in this world. He decides to follow his legendary father's footsteps in order to become a professional wrestler. His new journey starts when he moves over to England. Not long after he dives into the world of wrestling where everything becomes possible. This is an emotional and motivational story about always standing back up on your feet when you need to scratch and crawl through pain and self-doubts. How long is the road ahead of him?
God's Country,2022,Thriller,"When a college professor confronts two hunters she catches trespassing on her property, she's drawn into an escalating battle of wills with catastrophic consequences."
The Portable Door,2022,Fantasy,"Paul Carpenter is an intern at a mysterious London firm with unconventional employers, including a CEO who wants to disrupt the ancient magical world with modern corporate practices."
Aurora,2022,"Drama, Sci-Fi, Thriller",The story of a female astronaut stationed in outer space to monitor solar storms that endanger earth. She discovers shock waves from solar storms are bending time.
My Friend Max: Friends Forever,2022,"Animation, Family",
Memory,2022,"Action, Crime, Thriller",An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.
Molly Bling Bling,2022,"Comedy, Romance",
The Desperate Riders,2022,Western,A loner and a female sharpshooter must save a boy's mother from a ruthless outlaw.
Battlegrounds,2022,Thriller,"A young stick-up kid turned hip hop artist ,who has muddled through a broken child hood, is offered the performance of a lifetime; but it may cost him his soul."
And You Call Yourself a Christian,2022,Drama,"Based on the best selling novel of the same name, And You call Yourself A Christian, a woman's new found faith is tested when an unimaginable tragedy turns her life upside down."
Theaters of War,2022,Documentary,"If you've seen Top Gun or Transformers, you might suspect all that military machinery comes with strings attached. This influence is not limited to a handful of movies, though. A vast new trove of internal documents reveals that the Pentagon and CIA have doctored thousands of film and television scripts. Parting the curtains on this world, media professor Roger Stahl engages an array of other stunned scholars, frustrated veterans, PR insiders, and industry producers. He reveals in unsettling detail how the US military-industrial complex pushes a version of history that scrubs the screen of war crimes, corruption, criticism of the nuclear arsenal, racism, sexual assault, assassinations, and torture. From James Bond to Jack Ryan, Captain Marvel to Cake Boss, the creation of this other ""cinematic universe"" is one of the great PR coups of our time."
Snowcrawler,2022,"Fantasy, Horror",
Soof 3,2022,Comedy,"Sophie finally seems to have her life back on track. She's happy, her restaurant is booming and her kids are ready to leave the nest. As usual, Sophie tries to keep way too many balls in the air at the same time. Then she get's some bad news at the same time her daughter Sacha comes home from abroad to introduce her fiancée. Sophie gratefully embraces her daughter's upcoming wedding as an excuse to bury her head in the sand. Soof must learn to accept help from her loved ones and that she's worthy of their concern."
Lasciarsi un giorno a Roma,2022,"Comedy, Romance",A romantic comedy about how hard it is to separate after many years of living together.
Dio: Dreamers Never Die,2022,Documentary,"The first career spanning documentary on the heavy metal vocalist to be authorized by the artist's estate includes scenes with peers, family and friends; never before seen footage; personal photos."
The Doll 3,2022,"Horror, Thriller","After being possessed by the spirit of her late brother, a wicked doll terrorizes a woman and her loved ones."
Ero in guerra ma non lo sapevo,2022,Drama,
I Put a Spell on You,2022,Musical,
Prey,2022,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller","Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth."
Encontro,2022,Drama,
Amor es amor,2022,"Comedy, Romance","Enrique Juarez is an up-and-coming Mexican Telenovela actor on the verge of becoming a leading man, that has to hide his true self in order to achieve stardom."
Scare B&B,2022,Horror,"'Scare B&B' is a feature length anthology horror film from Talkinglens Productions. Each story revolves around different characters and situations, yet they all have one thing in common; they're set in the same house."
Heropanti 2,2022,"Action, Comedy, Crime, Romance","Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?"
Icon of Betrayal,2022,"Drama, Mystery","Actress Reid Donovan is giving what would appear to be a typical, high profile, interview. When a bloodied carving knife is revealed moments into the interview, it starts to take a dangerous and unpredictable turn."
Republic Day,2022,Action,
Ptsd911,2022,Documentary,"PTSD911 is a documentary film about real people: normal, average human beings who have chosen to work in professions that require above average heroism, fortitude, and resolve. These men and women have jobs that require a willingness to face things that most of us can't even imagine, yet maintain a high level of dignity and professionalism. First responders in fact repeatedly see and experience things that most of us will never see, causing compound issues related to post-traumatic stress injuries and disorders. Suicide rates among first responder groups in the United States are much higher than the general population. In 2016, 139 firefighters died by suicide; and in 2019, 228 police officers died by suicide, nearly twice the number of officers who died in line of duty. Both firefighters and police officers are more likely to die by suicide than in the line of duty. Many first responders self-medicate with alcohol or other self-destructive and abusive behaviors in an effort to cope with the stress and trauma they deal with daily. And unfortunately, many of their agencies are not providing them a supportive environment where they can get help. If first responders don't get the help they need and deserve, who will answer the call to your next emergency? Will they be healthy? Our nation's first responder agencies must provide a healthy and safe environment for these men and women to ask for help if they are struggling to deal with the trauma they've encountered. Our communities depend on them. Their families depend on them."
Upadek: Sprawa Boeinga,2022,Documentary,"Examining the months since the tragedies, which caused global panic in March 2019 after two new aircrafts crashed within five months, killing 346 people."
Punch!,2022,Drama,
The Stranger,2022,"Crime, Drama, Thriller","Two men who meet on a bus and strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true."
Sylas: The Last Gunman,2022,"Adventure, Sci-Fi, Western",
Nishana,2022,"Action, Comedy, Romance","The story of Thakur Saab and his wife Jankidevi, who belong to a rich and royal family."
Odwrócona wieża,2022,"Drama, Thriller","Thriller ""Tagurpidi torn"" tells the story of a group of children spending their summer in a sleepy hamlet, where their only entertainment is simply hanging around and climbing in an abandoned manufacturing facility, until they are forbidden to do that. The gang's boss Kristjan and his friends Ariel, Loore, Mia-Margot and Siim decide to ignore the ban. This decision changes their lives and friends face a grim confrontation. They need to answer the question - what is right and what is wrong?"
Gekido,2022,Thriller,
Hocus Pocus 2,2022,"Comedy, Family, Fantasy",Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.
One Last Composition,2022,Biography,Biopic of a composer who finished his one last composition beyond the realms of life.
Chicken Strips: The Trials and Tribulations of Becoming a Garage Band,2022,"Comedy, Music, Romance","When childhood best friends, Kyle, Steven, and Ruben are forced to perform in a music festival, conflicting priorities and visitors from the boys' past push their friendship to the breaking point."
Ljuba,2022,Documentary,
Zebun,2022,"Horror, Thriller","Kenan is a successful business person. Kenan, who lives a happy life with his wife Esma and his little daughter, witnesses some oddities when he returns from a business trip he goes to. Unable to make sense of what happened, Kenan attributes his experience to the workload."
Contando ovejas,2022,"Adventure, Comedy, Crime","Ernesto is a lonely boy, undervalued by the people around him, especially by his neighbor Leandro, a dangerous drug dealer."
Mahlûkat,2022,Horror,"This new film by Alper Mestçi, who is known for his movies ""Siccin"" and ""Musallat"", is about a real scary case in the Mardin, a Southeastern Anatolian city in Turkey."
Observers,2022,"Horror, Sci-Fi","After witnessing a disturbing occult ritual via the dark web, college student Riley Shepard believes he is being monitored by the same mysterious cult."
Alcarrás,2022,"Adventure, Drama","The life of a family of peach farmers in a small village in Catalonia changes when the owner of their large estate dies and his lifetime heir decides to sell the land, suddenly threatening their livelihood."
Badhaai Do,2022,"Comedy, Crime, Drama, Romance",Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.
El fred que crema,2022,"Adventure, Drama, Thriller, War","Explores a little-known aspect of the World War II Jewish diaspora: the escape of Jews through Andorra, a micro sovereign country in the Pyrenees mountain range of the Iberian Peninsula."
Salgueiro Maia - O Implicado,2022,"Biography, Drama","The storie of a true Portuguese hero. For himself he asked nothing, for the country all."
Entropy,2022,"Drama, Horror, Mystery","On the day Abbey is diagnosed with ovarian cancer, she and her girlfriend, Miranda, are invited to dinner with Miranda''s former self-help group to celebrate the return of her friend Scott."
Ek Villain Returns,2022,"Action, Crime, Romance, Thriller",The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.
Hey Sinamika,2022,"Drama, Romance","The lives of Mouna, a weather scientist who falls in love with Yaazhan, a quirky and loving guy. What happens to their relationship after a couple of years and how things take an unexpected turn after the arrival of Malarvizhi?"
Пасхальное воскресенье,2022,Comedy,"Set around a family gathering to celebrate Easter Sunday, the comedy is based on Jo Koy's life experiences and stand-up comedy."
Aferzysci. Zle psy,2022,"Action, Crime, Drama","After the departure of the head of Mafia , Ivan and the murder of the Commander, Marek Kutnowski, a policeman arrives on a call to the capital. Kutnowski's task is stop the activities of criminal groups in Warsaw."
Paragate,2022,Drama,
Relative,2022,"Comedy, Drama, Romance","As various members of the Frank family come together for a college graduation party in Chicago, they find their bonds being tested, and strengthened, in surprising ways."
Sam,2022,Drama,
Veden vartija,2022,"Sci-Fi, Thriller","In this dystopian literary adaptation, a courageous young woman fights for fresh water in the Scandinavian Union, an area that has dried up due to environmental disaster and a repressive military government."
Vengeance,2022,"Comedy, Mystery, Thriller",A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
The Huntress of Auschwitz,2022,"Horror, Thriller, War",A young American girl travels to Europe to track down the Nazi guard responsible for the murder of her great-grandparents.
Philly Christmas,2022,"Adventure, Family","On Christmas Eve, A rebellious teen takes a treacherous journey to learn the meaning of Christmas - sacrifice and true love."
Neon Spring,2022,Drama,"As her family is falling apart, twenty-year-old Laine gets introduced to Riga's underground raves where she experiences love and slowly begins to lose connection with reality."
Man,2022,Thriller,"Tortured by his inability to feel emotional or physical pain, a man finds murder to be his only respite - until he meets a lonely woman whose compassion awakens something inside."
Doppelte Rückzahlung,2022,"Action, Comedy",
